controller,pkg_controller,pkg_domain,pkg_repository,repository,architecture,pkg_infrastructure,service,repo_name,pkg_service,configuration,pkg_usecase,pkg_application,component,total_java_files
1,1,,,0,clean,,0,29-nov-java-spring-boot-clean-architecture,,1,3,3,0,10
1,1,,,1,clean,,2,3.spring-boot-rest-crud,3,0,,2,1,9
2,,26,2,1,clean,,0,AccountManager,,1,19,2,1,40
2,2,7,4,2,clean,16,0,actuator-cleanArchitecture-spring,4,4,,2,0,26
2,1,1,2,0,clean,9,0,Agenda-Clean-Architecture,,1,14,2,3,30
1,1,,,0,clean,,1,ai-agent-spring-boot-angular,,1,,2,3,8
3,,,16,4,clean,,1,airline-booking,1,5,12,1,0,77
1,2,1,,0,clean,3,0,AlarmService,13,0,,7,4,13
7,8,34,3,0,clean,,15,AngularAndSpring,17,6,18,3,13,96
3,4,16,13,4,clean,,1,AngularAndSpringWithMaps,2,2,3,2,3,41
0,,,,0,clean,,0,APC,,0,,,0,50
1,1,4,4,1,clean,,0,api-alunos-spring-boot-clean-architecture,,0,1,,1,12
2,2,16,6,1,clean,16,0,api-clean-architecture-inventario,3,3,9,5,5,35
1,4,1,2,1,clean,8,0,api-demo-clean-architecture,,1,2,5,0,15
2,11,7,,0,clean,,0,api-spring-boot-clean-architecture,,0,6,1,3,29
5,6,10,,6,clean,,5,appointments-clean,13,1,10,4,3,61
5,4,,7,0,clean,,4,apptly-backend-springboot,12,1,,2,3,60
5,4,3,3,1,clean,,6,archetype-java,5,3,6,10,1,41
1,1,2,2,1,clean,2,2,Architecture-Patterns,2,5,,4,0,11
4,9,3,7,1,clean,,2,archive-clean-architecture-spring-boot,2,2,10,2,1,45
4,2,6,1,0,clean,,1,auth-api,2,3,,2,2,24
7,9,40,13,0,clean,58,2,auth-gateway,15,10,21,41,4,139
1,1,,,0,clean,2,2,aws-email-sender-api,10,2,1,3,1,10
1,1,4,1,0,clean,,1,aws-s3-presigned-url,2,2,2,2,2,11
2,,21,17,3,clean,24,5,Backend-Bank-Accounts,14,6,6,6,2,51
6,5,,3,0,clean,,4,backend-taskmaster,4,2,,2,3,37
1,1,,1,1,clean,,1,BankingApplication,2,0,,9,0,9
4,4,,4,0,clean,,4,Banking_Ops_Springboot,4,0,,18,0,18
1,1,,,0,clean,,0,BankKataJavaSpringCleanArchitecture,,1,4,2,1,11
3,3,,3,3,clean,,4,base-project,6,1,,2,1,37
3,1,11,30,3,clean,30,3,bk-spring-boot-clean-architecture,3,3,4,3,2,44
4,3,10,4,4,clean,,3,Blog-Platform,5,1,,2,0,28
3,4,7,5,1,clean,,0,blog-spring-boot-sample,1,1,,2,1,22
1,1,,1,1,clean,,1,BLOG_APP-BASIC-BACKEND-SPRINGBOOT,2,0,,2,0,7
1,1,11,,0,clean,1,0,blood-bank-demo,,1,3,5,1,20
1,1,2,1,1,clean,,1,Boiler-Java-Clean-Architecture,,0,1,5,0,8
2,1,4,3,1,clean,6,0,boilerplate_java_spring,,1,3,6,0,16
2,3,,1,0,clean,,1,book-management-api,1,0,,1,0,9
1,1,,1,1,clean,,0,Book-Manager-SpringBoot,,0,,2,0,5
5,10,,8,8,clean,,9,book-recommendation-system,18,2,,2,20,113
6,6,,,1,clean,,1,bookstore-api,1,0,,2,0,12
1,1,,1,1,clean,,1,boot-cart,1,0,,2,0,6
4,4,3,4,0,clean,,7,bp-archunit-examples,7,2,4,3,0,32
1,3,2,4,1,clean,,1,btclean-api,,5,7,2,2,25
2,2,,4,4,clean,,1,Buy-Now-Pay-Later-Backend,1,0,,5,0,17
6,5,10,6,2,clean,13,6,CalorieCompass-JavaSpringBoot-Clean-Architecture,9,8,,16,4,53
3,3,,3,0,clean,,3,CampanhaSocioTorcedor,3,0,3,1,0,23
5,4,,4,0,clean,,6,Car-Service-Project,40,2,,2,2,40
0,1,3,2,0,clean,4,1,casbbase,4,2,1,3,0,13
5,7,23,6,0,clean,,26,clArc_Java-todoAPI,16,0,35,16,0,89
4,6,,2,2,clean,,4,clean-arch,8,3,14,4,4,45
1,2,,4,0,clean,,0,clean-architecture,2,2,4,1,0,29
2,7,7,1,3,clean,18,1,clean-architecture-101,,3,9,15,1,40
3,2,4,4,2,clean,,2,Clean-Architecture-and-SOLID-study,,0,4,6,0,20
0,,,,0,clean,,0,clean-architecture-boot,,0,,2,0,2
2,2,32,8,0,clean,,15,clean-architecture-branas-18,8,1,8,37,0,87
1,1,,4,2,clean,,0,clean-architecture-com-maven-e-spring-boot,,0,1,,1,12
0,,,,0,clean,,0,clean-architecture-crud-scaffolding,,0,,2,0,5
8,11,13,25,5,clean,,4,clean-architecture-delivery-example,1,13,62,1,11,148
1,2,2,1,0,clean,8,0,clean-architecture-demo,,0,9,2,1,22
2,7,,8,0,clean,,0,clean-architecture-example,,1,9,13,0,34
5,,,2,0,clean,,0,clean-architecture-example-java-spring-boot,,3,15,13,1,62
2,2,10,8,2,clean,7,2,clean-architecture-example-shop-spring-boot,2,1,2,4,0,27
9,11,51,2,0,clean,,0,clean-architecture-example-spring-boot,,1,8,3,2,95
1,1,1,1,0,clean,,2,clean-architecture-example-spring-rest-api,2,0,1,11,4,22
3,2,9,1,0,clean,,4,clean-architecture-java,3,2,,2,1,20
2,4,7,4,0,clean,,1,clean-architecture-java-example,,3,17,2,4,55
8,9,29,3,1,clean,,1,Clean-Architecture-Microservices,164,17,,71,3,164
1,2,6,2,0,clean,,0,clean-architecture-practice,6,2,2,14,5,38
1,5,2,4,1,clean,,0,clean-architecture-pratice,,0,8,2,5,34
2,2,1,2,1,clean,,1,clean-architecture-project-structure,2,0,1,5,3,26
