architecture,pkg_repository,max_package_depth,class_service,import_data,controller,springboot_app,class_repository,import_web,pkg_domain,total_java_files,configuration,pkg_infrastructure,pkg_usecase,import_stereotype,pkg_service,has_app_config,repo_name,repository,service,import_jpa,pkg_controller,class_config,import_boot,pkg_application,component,class_controller
clean,,9,,0,1,1,,2,,10,1,,3,0,,1,29-nov-java-spring-boot-clean-architecture,0,0,0,1,1,5,3,0,1
clean,,10,2,0,1,1,,1,,9,0,,,3,3,1,3.spring-boot-rest-crud,1,2,0,1,,3,2,1,1
clean,2,12,,4,2,1,,2,26,40,1,,19,1,,1,AccountManager,1,0,6,,1,3,2,1,
clean,4,10,2,3,2,1,,12,7,26,4,16,,2,4,1,actuator-cleanArchitecture-spring,2,0,0,2,4,5,2,0,2
clean,2,11,,10,2,1,1,4,1,30,1,9,14,3,,1,Agenda-Clean-Architecture,0,0,0,1,1,3,2,3,1
clean,,8,,0,1,1,,3,,8,1,,,3,,1,ai-agent-spring-boot-angular,0,1,0,1,,3,2,3,1
clean,16,15,1,5,3,1,8,14,,77,5,,12,5,1,1,airline-booking,4,1,4,,5,9,1,0,
clean,,8,4,0,1,1,,1,1,13,0,3,,4,13,,AlarmService,0,0,0,2,,2,7,4,2
clean,3,12,12,46,7,2,2,48,34,96,6,,18,25,17,1,AngularAndSpring,0,15,0,8,7,14,3,13,8
clean,13,11,2,12,3,1,5,5,16,41,2,,3,10,2,1,AngularAndSpringWithMaps,4,1,0,4,4,8,2,3,4
clean,,7,,0,0,0,,0,,50,0,,,0,,,APC,0,0,0,,,0,,0,
clean,4,9,,1,1,1,1,1,4,12,0,,1,2,,1,api-alunos-spring-boot-clean-architecture,1,0,1,1,,5,,1,1
clean,6,13,,5,2,2,1,9,16,35,3,16,9,4,3,,api-clean-architecture-inventario,1,0,4,2,3,5,5,5,2
clean,2,10,,1,1,1,1,2,1,15,1,8,2,1,,1,api-demo-clean-architecture,1,0,0,4,1,3,5,0,1
clean,,13,,0,2,1,,8,7,29,0,,6,3,,1,api-spring-boot-clean-architecture,0,0,0,11,,3,1,3,2
clean,,12,2,6,5,1,,14,10,61,1,,10,16,13,1,appointments-clean,6,5,12,6,1,15,4,3,6
clean,7,11,5,7,5,1,,10,,60,1,,,7,12,,apptly-backend-springboot,0,4,0,4,1,3,2,3,4
clean,3,10,3,1,5,1,1,22,3,41,3,,6,8,5,1,archetype-java,1,6,0,4,3,3,10,1,3
clean,2,9,2,5,1,1,,2,2,11,5,2,,3,2,,Architecture-Patterns,1,2,0,1,2,6,4,0,1
clean,7,12,2,1,4,1,2,10,3,45,2,,10,5,2,1,archive-clean-architecture-spring-boot,1,2,0,9,2,4,2,1,2
clean,1,9,2,1,4,1,,15,6,24,3,,,3,2,1,auth-api,0,1,0,2,3,3,2,2,2
clean,13,11,8,12,7,1,3,14,40,139,10,58,21,6,15,1,auth-gateway,0,2,0,9,14,7,41,4,9
